STN,YYYYMMDD,   FG,  FHX,  FHN,  FXX
  260,20020306,   65,   80,   40,  140
  260,20020307,   66,  100,   30,  190
  260,20020308,   38,   70,   20,  110
  260,20020309,   67,  120,   20,  240
  260,20020310,   59,   90,   30,  160
  260,20020311,   43,   60,   10,  100
  260,20020312,   13,   20,    0,   40
  260,20020313,   38,   60,   10,  110
  260,20020314,   68,  100,   10,  170
  260,20020315,   66,   90,   40,  150
  260,20020316,   33,   50,   20,   80
  260,20020317,   32,   50,   20,  110
  260,20020318,   59,  110,   20,  200
  260,20020319,   55,  100,   30,  190
  260,20020320,   42,   60,   10,  140
  260,20020321,   37,   60,    0,  130
  260,20020322,   36,   50,   20,  100
  260,20020323,   30,   50,   10,   90
  260,20020324,   25,   40,   10,   80
  260,20020325,   15,   30,   10,   60
  260,20020326,   18,   40,   10,   70
  260,20020327,   31,   40,   20,   80
  260,20020328,   31,   50,   20,   90
  260,20020329,   32,   60,   10,  100
  260,20020330,   22,   30,   10,   50
  260,20020331,   28,   50,   20,  100
  260,20020401,   24,   40,   10,   80
  260,20020402,   42,   60,   20,  110
  260,20020403,   66,   90,   40,  140
  260,20020404,   46,   60,   30,  100
  260,20020405,   70,   90,   40,  150
  260,20020406,   59,   80,   30,  140
  260,20020407,   35,   50,   20,   90
  260,20020408,   37,   60,   20,  110
  260,20020409,   29,   50,   10,   80
  260,20020410,   56,   90,   30,  140
  260,20020411,   40,   60,   20,  100
  260,20020412,   43,   60,   20,  120
  260,20020413,   41,   60,   10,  110
  260,20020414,   25,   40,   10,   90
  260,20020415,   32,   40,   20,   90
  260,20020416,   23,   40,   10,   60
  260,20020417,   12,   20,   10,   40
  260,20020418,   23,   50,   10,   90
  260,20020419,   19,   40,   10,   70
  260,20020420,   19,   40,    0,   70
  260,20020421,   13,   30,    0,   60
  260,20020422,   28,   50,   10,   90
  260,20020423,   28,   50,   10,  100
  260,20020424,   20,   40,    0,   70
  260,20020425,   28,   50,   10,  100
  260,20020426,   48,   70,   10,  190
  260,20020427,   51,   70,   20,  150
  260,20020428,   67,   90,   50,  150
  260,20020429,   74,  100,   50,  200
  260,20020430,   56,   80,   40,  160
  260,20020501,   44,   80,   10,  140
  260,20020502,   30,   40,   10,  110
  260,20020503,   33,   60,   10,  100
  260,20020504,   48,   70,   20,  130
  260,20020505,   37,   60,   20,  120
  260,20020506,   25,   40,   10,   80
  260,20020507,   28,   40,   10,   80
  260,20020508,   44,   60,   30,  110
  260,20020509,   29,   40,   10,   70
  260,20020510,   25,   40,   10,   70
  260,20020511,   23,   30,   10,   70
  260,20020512,   18,   30,   10,   60
  260,20020513,   42,   70,   10,  110
  260,20020514,   64,  100,   50,  250
  260,20020515,   37,   60,    0,  110
  260,20020516,   21,   30,   10,   60
  260,20020517,   35,   60,   10,  100
  260,20020518,   35,   70,   10,  130
  260,20020519,   31,   50,   10,   90
  260,20020520,   28,   50,   10,   90
  260,20020521,   45,   60,   20,  120
  260,20020522,   33,   50,   20,  100
  260,20020523,   28,   40,   10,   90
  260,20020524,   48,   80,   20,  160
  260,20020525,   45,   70,   20,  150
  260,20020526,   45,   80,   30,  140
  260,20020527,   28,   50,    0,  110
  260,20020528,   31,   50,   10,  110
  260,20020529,   50,   70,   30,  150
  260,20020530,   34,   60,   20,  110
  260,20020531,   34,   50,    0,  110
  260,20020601,   25,   50,    0,   80
  260,20020602,   39,   60,   20,  100
  260,20020603,   35,   50,   20,  120
  260,20020604,   33,   50,   20,   90
  260,20020605,   39,   60,   20,  120
  260,20020606,   29,   50,   10,   80
  260,20020607,   32,   50,   10,  100
  260,20020608,   19,   30,   10,   70
  260,20020609,   25,   40,   10,  100
  260,20020610,   39,   60,   10,  120
  260,20020611,   37,   50,   20,  110
  260,20020612,   34,   60,   10,  120
  260,20020613,   37,   50,   20,  100
  260,20020614,   33,   50,   20,  100
  260,20020615,   43,   60,   20,  110
  260,20020616,   28,   50,   10,  100
  260,20020617,   22,   40,   10,   70
  260,20020618,   34,   70,   10,  150
  260,20020619,   26,   40,   10,   80
  260,20020620,   30,   50,   20,  100
  260,20020621,   24,   50,   10,  100
  260,20020622,   41,   70,   20,  130
  260,20020623,   34,   50,    0,  100
  260,20020624,   25,   40,    0,   90
  260,20020625,   22,   50,    0,   80
  260,20020626,   28,   50,    0,   90
  260,20020627,   38,   60,   20,  120
  260,20020628,   44,   70,   30,  150
  260,20020629,   33,   50,   20,  100
  260,20020630,   53,   70,   40,  130
  260,20020701,   55,   70,   40,  150
  260,20020702,   53,   70,   30,  160
  260,20020703,   46,   60,   40,  120
  260,20020704,   39,   50,   20,  120
  260,20020705,   32,   50,   20,   90
  260,20020706,   24,   40,   10,   90
  260,20020707,   27,   50,   10,   90
  260,20020708,   27,   50,   10,   90
  260,20020709,   26,   50,   10,  100
  260,20020710,   24,   40,   10,   70
  260,20020711,   35,   60,   10,  110
  260,20020712,   18,   30,   10,   60
  260,20020713,   19,   30,   10,   60
  260,20020714,   35,   50,   20,   90
  260,20020715,   35,   50,   20,   90
  260,20020716,   41,   60,   20,  120
  260,20020717,   39,   60,   20,  110
  260,20020718,   41,   50,   20,  110
  260,20020719,   19,   30,    0,   60
  260,20020720,   22,   40,   10,  100
  260,20020721,   38,   60,   20,  130
  260,20020722,   35,   50,   20,  100
  260,20020723,   44,   60,   30,  130
  260,20020724,   31,   50,   20,   90
  260,20020725,   28,   40,   20,   90
  260,20020726,   31,   40,   10,   90
  260,20020727,   20,   30,   10,   70
  260,20020728,   18,   30,   10,   60
  260,20020729,   21,   40,   10,   70
  260,20020730,   21,   70,    0,  170
  260,20020731,   19,   30,   10,   60
  260,20020801,   24,   40,   10,  100
  260,20020802,   20,   30,   10,   90
  260,20020803,   15,   30,   10,   80
  260,20020804,   14,   30,    0,   70
  260,20020805,   13,   20,    0,   60
  260,20020806,   16,   30,    0,   60
  260,20020807,   13,   30,    0,   90
  260,20020808,   15,   30,   10,   50
  260,20020809,   24,   40,   10,   80
  260,20020810,   18,   40,   10,   60
  260,20020811,   26,   40,   10,   70
  260,20020812,   32,   50,   20,   90
  260,20020813,   23,   40,    0,   70
  260,20020814,   13,   20,    0,   50
  260,20020815,   17,   30,   10,   60
  260,20020816,   15,   30,    0,   60
  260,20020817,   20,   30,   10,   60
  260,20020818,   25,   40,   10,   80
  260,20020819,   19,   40,   10,   70
  260,20020820,   18,   40,   10,  120
  260,20020821,   25,   40,   10,   80
  260,20020822,   18,   30,   10,   70
  260,20020823,   18,   30,   10,   50
  260,20020824,   26,   40,   10,   80
  260,20020825,   21,   30,   10,   60
  260,20020826,   25,   40,   10,   80
  260,20020827,   35,   50,   20,  100
  260,20020828,   32,   40,   20,   80
  260,20020829,   14,   20,    0,   50
  260,20020830,   25,   40,   10,   70
  260,20020831,   31,   50,   10,   90
  260,20020901,   24,   40,   10,   70
  260,20020902,   34,   60,   10,   90
  260,20020903,   35,   60,   10,  100
  260,20020904,   13,   30,    0,   60
  260,20020905,   19,   40,    0,   70
  260,20020906,   37,   60,   20,  100
  260,20020907,   34,   70,   10,  120
  260,20020908,   24,   50,   10,   90
  260,20020909,   30,   60,   10,  120
  260,20020910,   12,   20,    0,   50
  260,20020911,   27,   40,   10,   70
  260,20020912,   37,   50,   20,   90
  260,20020913,   25,   40,   10,   80
  260,20020914,   27,   50,   10,  100
  260,20020915,   25,   40,   10,   90
  260,20020916,   19,   30,   10,   60
  260,20020917,   13,   30,   10,   60
  260,20020918,   13,   30,   10,   50
  260,20020919,   15,   30,   10,   60
  260,20020920,   14,   30,    0,   60
  260,20020921,   16,   30,   10,   50
  260,20020922,   34,   60,   20,  130
  260,20020923,   47,   60,   30,  120
  260,20020924,   34,   70,   10,  120
  260,20020925,   25,   50,    0,   90
  260,20020926,   18,   30,   10,   90
  260,20020927,   15,   20,   10,   50
  260,20020928,   12,   20,    0,   50
  260,20020929,   16,   30,    0,   60
  260,20020930,   20,   40,   10,   70
  260,20021001,   15,   20,   10,   40
  260,20021002,   16,   30,   10,   60
  260,20021003,   25,   30,   10,   70
  260,20021004,   22,   40,   10,  100
  260,20021005,   33,   50,   20,  100
  260,20021006,   38,   70,    0,  140
  260,20021007,   20,   30,    0,   70
  260,20021008,   38,   50,   30,   90
  260,20021009,   59,   80,   30,  130
  260,20021010,   58,   70,   40,  110
  260,20021011,   50,   70,   40,  110
  260,20021012,   31,   40,   20,   70
  260,20021013,   30,   50,   20,   80
  260,20021014,   33,   50,   10,  100
  260,20021015,   27,   50,   10,   90
  260,20021016,   53,   70,   40,  130
  260,20021017,   26,   40,   10,  100
  260,20021018,   31,   50,   10,  100
  260,20021019,   25,   40,   20,   80
  260,20021020,   24,   60,   10,   90
  260,20021021,   32,   60,   20,  110
  260,20021022,   43,   60,   20,  120
  260,20021023,   46,   60,   30,  140
  260,20021024,   35,   50,   20,   90
  260,20021025,   54,   80,   30,  190
  260,20021026,   55,   80,   20,  170
  260,20021027,   91,  150,   40,  280
  260,20021028,   44,   60,   20,  130
  260,20021029,   24,   40,   10,   70
  260,20021030,   16,   30,    0,   50
  260,20021031,   14,   20,   10,   40
  260,20021101,   30,   40,   10,   80
  260,20021102,   32,   60,   20,  100
  260,20021103,   39,   70,   20,  110
  260,20021104,   15,   20,   10,   70
  260,20021105,   16,   30,   10,   50
  260,20021106,   41,   60,   20,  110
  260,20021107,   25,   50,   10,  130
  260,20021108,   50,   70,   30,  140
  260,20021109,   25,   40,   10,  100
  260,20021110,   30,   50,   10,   90
  260,20021111,   33,   40,   20,   90
  260,20021112,   48,   60,   30,  120
  260,20021113,   42,   60,   20,  120
  260,20021114,   49,   70,   30,  120
  260,20021115,   21,   40,   10,   70
  260,20021116,   21,   30,   10,   60
  260,20021117,   24,   30,   10,   60
  260,20021118,   20,   30,   10,   50
  260,20021119,   23,   40,   10,   60
  260,20021120,   33,   40,   30,   70
  260,20021121,   42,   60,   30,  100
  260,20021122,   30,   40,   20,   80
  260,20021123,   33,   40,   30,   90
  260,20021124,   29,   40,   20,   60
  260,20021125,   25,   40,   10,   60
  260,20021126,   20,   30,   10,   50
  260,20021127,   34,   50,   10,   80
  260,20021128,   30,   40,   20,   70
  260,20021129,   18,   30,    0,   50
  260,20021130,   12,   20,    0,   40
  260,20021201,   49,   70,   30,  120
  260,20021202,   37,   50,   20,   90
  260,20021203,   17,   20,   10,   40
  260,20021204,   27,   40,   10,   70
  260,20021205,   29,   50,   10,   90
  260,20021206,   51,   60,   40,  110
  260,20021207,   50,   60,   40,  110
  260,20021208,   54,   60,   40,  110
  260,20021209,   55,   60,   40,  110
  260,20021210,   54,   60,   40,  100
  260,20021211,   54,   60,   50,  110
  260,20021212,   33,   50,   20,   70
  260,20021213,   23,   30,   20,   50
  260,20021214,   30,   50,   10,   80
  260,20021215,   58,   70,   40,  110
  260,20021216,   28,   50,   20,   90
  260,20021217,   20,   30,   10,   60
  260,20021218,    7,   10,    0,   30
  260,20021219,   23,   40,   10,   70
  260,20021220,   16,   20,   10,   50
  260,20021221,   17,   40,   10,   60
  260,20021222,   45,   60,   10,  130
  260,20021223,   32,   50,   10,   80
  260,20021224,   32,   50,   20,   90
  260,20021225,   27,   50,   20,   90
  260,20021226,   43,   60,   30,  110
  260,20021227,   39,   50,   30,   80
  260,20021228,   31,   40,   10,   90
  260,20021229,   33,   40,   20,   80
  260,20021230,   51,   80,   20,  160
  260,20021231,   48,   70,   20,  130
  260,20030101,   47,   70,   20,  150
  260,20030102,   40,   70,   20,  150
  260,20030103,   29,   50,   10,  120
  260,20030104,   39,   60,   10,  110
  260,20030105,   22,   40,   10,   70
  260,20030106,   36,   50,   20,  100
  260,20030107,   28,   40,   20,   80
  260,20030108,   32,   40,   20,   80
  260,20030109,   28,   40,   10,   70
  260,20030110,   26,   40,   10,   60
  260,20030111,   14,   20,   10,   50
  260,20030112,   35,   60,   10,  100
  260,20030113,   54,   70,   40,  120
  260,20030114,   51,   60,   40,  110
  260,20030115,   63,   80,   40,  150
  260,20030116,   43,   60,   30,  100
  260,20030117,   50,   70,   30,  120
  260,20030118,   45,   60,   30,  100
  260,20030119,   58,   70,   50,  120
  260,20030120,   60,   70,   50,  130
  260,20030121,   44,   60,   40,  100
  260,20030122,   47,   70,   30,  130
  260,20030123,   36,   60,   20,  110
  260,20030124,   22,   40,   10,   70
  260,20030125,   41,   60,   20,  110
  260,20030126,   34,   50,   20,  100
  260,20030127,   40,   60,   30,  110
  260,20030128,   62,   80,   40,  160
  260,20030129,   43,   70,   30,  130
  260,20030130,   32,   60,   10,  130
  260,20030131,   22,   50,   10,   80
  260,20030201,   45,   60,   30,  100
  260,20030202,   50,   60,   30,  120
  260,20030203,   45,   60,   30,  130
  260,20030204,   42,   70,   20,  160
  260,20030205,   33,   50,   20,  130
  260,20030206,   25,   40,   10,   70
  260,20030207,   32,   40,   20,   70
  260,20030208,   29,   30,   20,   60
  260,20030209,   34,   40,   30,   70
  260,20030210,   23,   30,   10,   60
  260,20030211,   17,   20,   10,   40
  260,20030212,   23,   40,   10,   70
  260,20030213,   27,   40,   10,   70
  260,20030214,   30,   50,   20,   80
  260,20030215,   38,   50,   30,   90
  260,20030216,   37,   50,   30,   90
  260,20030217,   32,   50,   20,   80
  260,20030218,   31,   40,   20,   70
  260,20030219,   50,   80,   30,  120
  260,20030220,   30,   50,   10,   80
  260,20030221,   20,   30,   10,   50
  260,20030222,   33,   50,   20,   90
  260,20030223,   33,   40,   20,   70
  260,20030224,   26,   30,   20,   50
  260,20030225,   29,   50,   20,   90
  260,20030226,   23,   30,   20,   50
  260,20030227,   20,   30,   10,   60
  260,20030228,   30,   50,   10,  110
  260,20030301,   37,   50,   30,  100
  260,20030302,   27,   40,   10,   80
  260,20030303,   15,   30,    0,   60
  260,20030304,   41,   60,   20,  100
  260,20030305,   29,   40,   20,   70
  260,20030306,   32,   60,   10,  110
  260,20030307,   40,   60,   20,  130
  260,20030308,   73,   80,   60,  160
  260,20030309,   54,   70,   30,  140
  260,20030310,   50,   70,   30,  120
  260,20030311,   45,   50,   30,  110
  260,20030312,   41,   60,   20,  100
  260,20030313,   28,   40,   20,   80
  260,20030314,   33,   50,   10,   90
  260,20030315,   40,   60,   30,   90
  260,20030316,   20,   30,    0,   60
  260,20030317,   26,   50,    0,   80
  260,20030318,   22,   40,   10,   60
  260,20030319,   23,   40,   10,   60
  260,20030320,   15,   40,   10,   60
  260,20030321,   40,   60,   20,  100
  260,20030322,   32,   50,   20,   80
  260,20030323,   23,   30,   10,   60
  260,20030324,   28,   50,   10,  100
  260,20030325,   16,   30,    0,   60
  260,20030326,   23,   40,   10,   70
  260,20030327,   16,   30,   10,   50
  260,20030328,   31,   50,   10,   90
  260,20030329,   15,   20,   10,   50
  260,20030330,   27,   50,   10,   80
  260,20030331,   22,   40,   10,   70
  260,20030401,   46,   80,   10,  160
  260,20030402,   50,   70,   30,  150
  260,20030403,   41,   70,   10,  130
  260,20030404,   27,   40,   10,   80
  260,20030405,   50,   70,   30,  130
  260,20030406,   38,   70,   10,  130
  260,20030407,   34,   40,   20,   90
  260,20030408,   29,   40,   20,   80
  260,20030409,   25,   50,   10,   90
  260,20030410,   22,   40,   10,   80
  260,20030411,   25,   40,   10,   80
  260,20030412,   19,   40,   10,   70
  260,20030413,   37,   60,   10,  110
  260,20030414,   55,   90,   30,  130
  260,20030415,   43,   50,   30,   90
  260,20030416,   42,   70,   20,  100
  260,20030417,   46,   60,   30,  110
  260,20030418,   55,   70,   30,  130
  260,20030419,   50,   80,   30,  120
  260,20030420,   37,   50,   20,   90
  260,20030421,   24,   50,   10,   90
  260,20030422,   23,   40,   10,   70
  260,20030423,   27,   40,   10,   80
  260,20030424,   19,   40,   10,   90
  260,20030425,   23,   40,   10,   90
  260,20030426,   27,   40,   20,   90
  260,20030427,   57,   90,   30,  160
  260,20030428,   40,   70,   20,  120
  260,20030429,   43,   80,   10,  150
  260,20030430,   33,   60,   20,  110
  260,20030501,   58,   80,   20,  160
  260,20030502,   36,   70,   20,  170
  260,20030503,   58,   80,   20,  170
  260,20030504,   36,   60,   20,  110
  260,20030505,   20,   40,   10,   70
  260,20030506,   17,   40,    0,   70
  260,20030507,   14,   30,    0,   50
  260,20030508,   20,   40,    0,   80
  260,20030509,   13,   20,    0,   40
  260,20030510,   21,   40,   10,   70
  260,20030511,   25,   50,   10,   90
  260,20030512,   35,   60,   10,  110
  260,20030513,   38,   60,   20,  120
  260,20030514,   35,   50,   20,  130
  260,20030515,   20,   30,   10,   70
  260,20030516,   19,   30,   10,   60
  260,20030517,   32,   50,   10,  130
  260,20030518,   43,   60,   20,  110
  260,20030519,   38,   60,   20,  120
  260,20030520,   50,   70,   30,  140
  260,20030521,   34,   50,   20,  100
  260,20030522,   38,   50,   20,  110
  260,20030523,   41,   50,   20,  110
  260,20030524,   11,   20,    0,   40
  260,20030525,   23,   40,   10,   80
  260,20030526,   17,   30,   10,   60
  260,20030527,   21,   30,   10,   60
  260,20030528,   24,   40,   10,   80
  260,20030529,   23,   40,   10,   90
  260,20030530,   21,   30,   10,   60
  260,20030531,   24,   40,   10,   70
  260,20030601,   20,   30,   10,   80
  260,20030602,   28,   40,   10,  150
  260,20030603,   21,   40,   10,   70
  260,20030604,   33,   80,   10,  160
  260,20030605,   23,   40,    0,   80
  260,20030606,   22,   40,   10,   80
  260,20030607,   23,   50,    0,   90
  260,20030608,   33,   70,   10,  140
  260,20030609,   32,   50,   10,  100
  260,20030610,   31,   40,   20,   80
  260,20030611,   38,   60,   10,  120
  260,20030612,   18,   40,    0,   70
  260,20030613,   24,   40,    0,   80
  260,20030614,   30,   40,   20,   80
  260,20030615,   23,   30,   10,   70
  260,20030616,   16,   30,    0,   60
  260,20030617,   20,   30,   10,   70
  260,20030618,   38,   60,   10,  110
  260,20030619,   45,   60,   30,  130
  260,20030620,   39,   60,   20,  120
  260,20030621,   25,   40,   10,   90
  260,20030622,   25,   40,   10,   70
  260,20030623,   35,   90,   10,  160
  260,20030624,   28,   40,   10,   80
  260,20030625,   26,   40,   10,   80
  260,20030626,   33,   50,   20,   80
  260,20030627,   25,   40,   20,   70
  260,20030628,   25,   40,   10,   70
  260,20030629,   18,   30,    0,   70
  260,20030630,   25,   40,   10,   80
  260,20030701,   38,   60,   20,  110
  260,20030702,   43,   60,   30,  110
  260,20030703,   41,   50,   30,  110
  260,20030704,   36,   50,   20,  100
  260,20030705,   29,   40,   10,   80
  260,20030706,   10,   20,    0,   40
  260,20030707,   12,   20,    0,   60
  260,20030708,   16,   30,    0,   80
  260,20030709,   22,   40,    0,   80
  260,20030710,   18,   30,    0,   50
  260,20030711,   32,   50,   10,  100
  260,20030712,   22,   40,   10,   80
  260,20030713,   25,   40,    0,   70
  260,20030714,   40,   50,   20,   90
  260,20030715,   43,   70,   30,  120
  260,20030716,   43,   60,   10,  130
  260,20030717,   40,   60,   20,  120
  260,20030718,   33,   50,   10,  110
  260,20030719,   24,   40,   10,   70
  260,20030720,   26,   50,   10,  100
  260,20030721,   21,   40,   10,   70
  260,20030722,   28,   50,   10,  100
  260,20030723,   22,   40,   10,   80
  260,20030724,   26,   50,   10,  100
  260,20030725,   31,   50,   10,  100
  260,20030726,   34,   50,   20,  100
  260,20030727,   36,   70,   10,  130
  260,20030728,   24,   50,   10,   90
  260,20030729,   25,   40,   10,   80
  260,20030730,   24,   40,   10,   80
  260,20030731,   17,   30,    0,   70
  260,20030801,   22,   40,   10,   80
  260,20030802,   18,   30,    0,   80
  260,20030803,   21,   40,   10,   70
  260,20030804,   25,   50,   10,   90
  260,20030805,   27,   40,   20,   70
  260,20030806,   27,   40,   10,   80
  260,20030807,   21,   40,   10,   60
  260,20030808,   23,   40,   10,   70
  260,20030809,   23,   30,   10,   60
  260,20030810,   13,   20,    0,   50
  260,20030811,   17,   30,   10,   50
  260,20030812,   27,   50,   10,   90
  260,20030813,   25,   40,    0,   90
  260,20030814,   28,   50,   10,  100
  260,20030815,   26,   40,    0,   80
  260,20030816,   20,   40,    0,   70
  260,20030817,   30,   50,   10,   90
  260,20030818,   26,   50,   10,   90
  260,20030819,   29,   40,    0,   90
